City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,suva,-18.1416,178.4415,21.71,78,75,1.03,FJ,2023-06-10 21:46:25
180,utrik,11.2278,169.8474,27.77,83,100,7.55,MH,2023-06-10 21:46:25
181,al 'amarah,31.8406,47.1396,35.22,19,0,5.06,IQ,2023-06-10 21:46:25
182,prado,-17.3411,-39.2208,23.33,85,0,3.16,BR,2023-06-10 21:46:25
183,ordubad,38.9059,46.0234,18.6,90,93,0.81,AZ,2023-06-10 21:46:25
184,envira,-7.3,-70.2167,24.05,95,62,1.09,BR,2023-06-10 21:46:25
185,wigton,54.8248,-3.1611,17.7,86,100,2.19,GB,2023-06-10 21:46:25
186,teshi old town,5.5836,-0.1072,25.31,94,100,3.09,GH,2023-06-10 21:46:26
187,trujillo,-8.116,-79.03,23.98,78,4,5.66,PE,2023-06-10 21:46:26
188,kodinsk,58.6881,99.1844,12.84,69,100,4.18,RU,2023-06-10 21:46:26
189,sinabang,2.4803,96.3801,26.87,83,100,1.52,ID,2023-06-10 21:46:26
190,luorong,24.4058,109.6086,24.21,78,73,1.22,CN,2023-06-10 21:46:26
191,labasa,-16.4167,179.3833,25.61,72,98,4.19,FJ,2023-06-10 21:46:26
192,port alfred,-33.5906,26.891,14.29,73,0,5.33,ZA,2023-06-10 21:46:26
193,praya,14.9215,-23.5087,26.3,65,0,6.69,CV,2023-06-10 21:45:40
194,belmonte,-15.8631,-38.8828,23.72,85,12,3.21,BR,2023-06-10 21:46:26
195,coquimbo,-29.9533,-71.3436,16.85,67,0,4.63,CL,2023-06-10 21:46:27
196,shantobe,52.4581,68.1839,12.26,55,0,2.7,KZ,2023-06-10 21:46:27
197,podgornoye,51.735,39.1496,16.12,63,75,5.0,RU,2023-06-10 21:46:27
198,new norfolk,-42.7826,147.0587,10.4,88,100,1.63,AU,2023-06-10 21:46:27
199,medicine hat,50.0501,-110.6683,27.9,47,75,6.17,CA,2023-06-10 21:44:09
200,batyrevo,55.0675,47.6111,6.98,74,30,3.49,RU,2023-06-10 21:46:27
201,nguigmi,14.2495,13.1092,28.95,60,95,1.04,NE,2023-06-10 21:46:27
202,pisco,-13.7,-76.2167,22.03,68,0,8.23,PE,2023-06-10 21:46:27
203,jayapura,-2.5333,140.7,25.66,90,76,2.1,ID,2023-06-10 21:46:27
204,oroqen zizhiqi,50.5667,123.7167,13.96,94,35,1.08,CN,2023-06-10 21:46:28
205,yarkovo,57.4028,67.0786,11.95,62,40,4.3,RU,2023-06-10 21:46:28
206,nizhnedevitsk,51.5419,38.3657,13.46,91,100,6.1,RU,2023-06-10 21:46:28
207,vorgashor,67.5833,63.95,7.34,90,98,1.61,RU,2023-06-10 21:46:28
208,linxia chengguanzhen,35.6003,103.2064,15.98,38,100,2.32,CN,2023-06-10 21:46:28
209,christchurch,-43.5333,172.6333,8.3,91,20,3.09,NZ,2023-06-10 21:41:52
